F5 6,F6 7,F7 8,F8 9,F9 10,M5-6,M6 7,M7 8,M8 9,M9 10,Number of Records,T5 6,T6 7,T7 8,T8 9,T9 10,Th5 6,Th6 7,Th7 8,Th8 9,Th9 10,W5 6,W6 7,W7 8,W8 9,W9 10,Lat,Location Index,Lon
50.0737037,45.87083333,36.58759615,34.074,34.58884354,38.70544,39.52142157,35.09814404,32.90051852,32.53955556,1,40.05019608,39.8283558,35.44318777,32.33310811,34.23097087,43.37901961,39.88424837,37.78211765,32.88085106,34.06795918,44.58820513,37.7161194,34.56342373,30.98462963,34.44827586,-37.71049496,1597,144.8881741
63.52,59.1754717,56.92013699,54.41615385,55.48265823,62.63181818,58.15207317,57.80461538,53.2284375,57.45979592,1,62.87649351,59.82367089,56.72439394,50.99604167,56.50683333,61.12910112,58.55634409,57.61383838,54.65069444,55.45596491,65.07373333,59.34085106,57.28278481,55.93106061,55.65086207,-37.6355935,1629,144.8814855
59.24208791,47.96925926,39.90694444,42.16804124,40.99402062,62.73387097,44.79988235,34.78640449,34.43441176,47.23068182,1,58.81554348,43.48602151,29.94724771,33.47387097,41.39776,61.65375,41.56054054,36.50504348,38.86545455,44.16785714,61.49103448,42.82236559,33.51732759,36.87647059,38.46361905,-37.69605711,1639,144.7757575
61.77010101,58.33271186,55.53776316,57.8667033,59.12858025,63.69675,57.76705036,51.40741935,54.75883333,58.73173653,1,62.81884211,55.52112069,52.59817734,54.57664865,58.89610169,63.89773196,58.75384058,54.90116935,55.66689655,58.8043038,62.5690411,58.25905512,55.11673913,56.63087719,58.61367742,-37.71239248,1647,144.8309186
48.87789474,50.5427451,42.555,30.47245614,37.3456,45.96894737,45.1369697,37.882,28.5075,35.03461538,1,45.93904762,55.30540541,38.1,29.09232143,35.06181818,54.02285714,47.56434783,40.16128205,30.45590164,33.3344,48.15095238,43.81142857,42.85435897,26.49857143,36.95325,-37.73512132,1669,144.8868574
52.18875,48.75615385,56.54541667,47.05173077,44.5512,45.81571429,51.56944444,54.84,47.0445,47.492,1,42.2925,54.89785714,54.44588235,46.48741935,44.49636364,63.69090909,49.13321429,57.30583333,47.08032258,47.67038462,46.45545455,51.5045,52.81083333,42.61,44.584,-37.73430506,1670,144.8848866
48.513,50.44185185,44.17969697,39.22087719,40.79685185,48.72473684,45.69081081,40.63025,36.09916667,41.58177778,1,46.49047619,54.4615,43.93357143,43.20433962,43.6040625,53.63166667,47.41333333,45.57918919,39.60616667,40.52833333,47.57217391,46.53282051,44.57175,34.41136364,44.3185,-37.7343872,1671,144.8850844
82.12191176,85.29331461,82.9727668,80.82521569,79.64175824,84.68941606,84.60637097,81.89033223,78.95108,82.22213115,1,83.69066038,84.55963351,82.32743506,80.48612167,82.9435,84.92521739,83.88158879,81.4322252,80.77004367,81.41696517,83.16920792,84.77592593,82.78063536,81.78952381,81.03102439,-37.72287645,1690,144.8426109
51.83128134,52.30329958,50.34438865,49.56985133,50.2741323,51.06774579,48.92157339,47.9427685,49.97344111,48.8479291,1,51.89836066,49.39456291,49.21122654,49.26977629,50.01053814,51.81200787,51.16673499,50.01668553,49.48126485,49.95240876,52.42412595,51.42202091,49.1633171,48.99256742,47.35484567,-37.67927818,1797,144.8602914
44.63451969,43.48409524,43.04994709,41.91208,41.50843177,44.00216915,40.64807374,39.79419527,42.40949591,42.949,1,44.32331316,42.60767892,41.52682598,41.47267666,42.3046875,44.91514329,43.84308075,44.00935361,42.58670103,41.96748162,44.14535831,42.71144592,41.87018962,41.59547865,39.75178151,-37.67580921,1803,144.853862
41.29746154,38.74113636,39.60914894,38.83757647,38.35911162,44.55304348,41.96206957,38.41699219,39.92761035,38.00582474,1,43.16527523,42.83742553,40.52017699,38.24465753,40.02225806,41.66773196,42.10229935,40.02511952,39.79940695,38.95338645,42.08932489,43.65821267,39.51043689,35.51616145,35.57480804,-37.67814526,1804,144.8594843
54.04321429,53.3015873,50.61175824,48.32112903,48.09456044,55.3800885,53.16773504,52.64579805,49.2768239,48.93392361,1,54.26324675,53.08707865,51.18257511,48.65813278,47.42352941,53.69402299,54.50416667,50.02955947,49.48435556,49.35504098,51.64217391,53.45886228,52.90149606,47.54389105,46.61545817,-37.68121776,1805,144.8625212
53.80175487,52.54159844,51.88708978,53.0538292,53.0922547,52.51187856,47.34351306,48.11050946,52.12638854,51.56103514,1,52.6688563,50.47869215,50.92638128,52.94296012,52.5007026,53.16647249,51.65763441,51.95402854,53.8296393,51.66286751,52.61635258,51.244662,50.60852552,52.79721739,51.42026473,-37.68289813,1806,144.8639805
57.61977011,56.83283465,58.51899441,56.3806338,56.68818182,59.76447619,58.29521739,59.15346614,57.81136882,56.902375,1,59.57378378,58.35122699,57.13529412,56.9997561,58.15524823,58.13252874,61.10514085,57.90131579,56.63294686,58.41434146,55.26492958,58.95181818,59.33289593,56.56768362,55.59825137,-37.68240377,1807,144.8636833
102.40375,99.44545455,98.22333333,98.56692308,99.49952381,93.788,85.79181818,82.4825,71.84583333,94.59941176,1,84.06555556,86.80375,95.64941176,98.38375,99.57571429,97.4,93.00818182,96.20705882,96.42222222,85.561,91.02,89.18785714,100.3975,93.35409091,93.98785714,-37.66977358,1835,144.8554936
87.27386991,85.06017055,80.55943683,80.86730641,75.41324113,86.84439753,81.29946648,62.25119435,37.2742811,38.59034774,1,87.6880377,84.25668589,72.10674711,61.68335393,49.56551894,85.90372586,83.60445628,72.83141226,58.83274929,58.87877687,87.31833333,84.76655472,77.45895058,59.10156186,65.67840976,-37.67600993,1836,144.8623576
